mid,Model type,Publication,Population,Drug,Disease,PMID,Training data Reference,Training data,Program/code
M985,pop-PK,"Brooks JT, Solans BP, Lu Y, Kharbanda S, Dvorak CC, Lalefar N, Long S, Gupta AO, Horn B, Lamba JK, Huang L, Apsel-Winger B, Keizer RJ, Savic R, Long-Boyle J. Prospective Validation and Refinement of a Population Pharmacokinetic Model of Fludarabine in Children and Young Adults Undergoing Hematopoietic Cell Transplantation. Pharmaceutics. 2022 Nov 15;14(11):2462. doi: 10.3390/pharmaceutics14112462. PMID: 36432661; PMCID: PMC9694406.",adult and pediatric patients,Fludarabine,graft rejection after hematopoietic cell transplantation,36432661,"2. Materials and Methods
Patients recruited to participate in the study met protocol-specific eligibility criteria for transplantation, planned to undergo an allogeneic or autologous HCT that included intravenous fludarabine phosphate as part of the conditioning regimen, and included pediatric (0–17 years old) or young adult (18–22 years old). Participating HCT centers included the University of California, San Francisco (UCSF), UCSF Benioff Children’s Hospital of Oakland, University of Minnesota, and Rady Children’s Hospital San Diego were recruited between October 2019 and February 2022.",measured,NA
M986,pop-PK,"Kay K, Goodwin J, Ehrlich H, Ou J, Freeman T, Wang K, Li F, Wade M, French J, Huang L, Aweeka F, Mwebaza N, Kajubi R, Riggs M, Ruiz-Garcia A, Parikh S. Impact of Drug Exposure on Resistance Selection Following Artemether-Lumefantrine Treatment for Malaria in Children With and Without HIV in Uganda. Clin Pharmacol Ther. 2023 Mar;113(3):660-669. doi: 10.1002/cpt.2768. Epub 2022 Nov 14. PMID: 36260349; PMCID: PMC9981240.",Pediatric Patients,Artemether/Lumefantrine,Malaria,36260349,"METHODS
Study design and PK analysis
Details of the parent study and noncompartmental PK analysis have been published previously.29 Briefly, we conducted a prospective PK/ PD trial of AL in the context of HIV-uninfected and HIV-infected children on daily T-S prophylaxis and EFV-, NVP-, or LPV/r-based antiretroviral therapy (ART), ages 0.5–8 years, presenting with uncomplicated P. falciparum infection in high-transmission Tororo, Uganda in 2011– 2014.",measured,NA
M987,pop-PK,"Fisher DM, Rosenfeld RG, Jaron-Mendelson M, Amitzi L, Koren R, Hart G. Pharmacokinetic and Pharmacodynamic Modeling of MOD-4023, a Long-Acting Human Growth Hormone, in Growth Hormone Deficiency Children. Horm Res Paediatr. 2017;87(5):324-332. doi: 10.1159/000470842. Epub 2017 Apr 11. PMID: 28399519; PMCID: PMC5637306.",adult patients,MOD-4023,growth hormone deficiency,28399519,"Data from the 2 adult studies (phase 1: unpublished results; phase 2 [4]) were used to develop a pharmacokinetic model for MOD-4023 and a pharmacodynamic model for IGF-1, a biomarker for the effects of GH.",phase 2:https://academic.oup.com/ejendo/article/176/3/283/6655146,NA
M988,pop-PK,"Sosnin N, Curtis N, Cranswick N, Chiletti R, Gwee A. Vancomycin is commonly under-dosed in critically ill children and neonates. Br J Clin Pharmacol. 2019 Nov;85(11):2591-2598. doi: 10.1111/bcp.14084. Epub 2019 Aug 30. PMID: 31378957; PMCID: PMC6848905.",Pediatric Patients,Vancomycin,gram-positive bacterial infections,31378957,"2. METHODS
2.1. Study design
We retrospectively reviewed the medical records of children who were treated with intravenous vancomycin in the paediatric intensive care unit (PICU) and neonatal intensive care unit of the Royal Children's Hospital (RCH) Melbourne over a 10‐month period (April 2016–February 2017).",measured,NA
M989,pop-PK,"Salvador E, Oualha M, Bille E, Beranger A, Moulin F, Benaboud S, Boujaafar S, Gana I, Urien S, Zheng Y, Toubiana J, Briand C, Bustarret O, Geslain G, Renolleau S, Treluyer JM, Hirt D. Population pharmacokinetics of cefazolin in critically ill children infected with methicillin-sensitive Staphylococcus aureus. Clin Microbiol Infect. 2021 Mar;27(3):413-419. doi: 10.1016/j.cmi.2020.04.022. Epub 2020 Apr 29. PMID: 32360445.",Pediatric Patients,cefazolin,methicillin-sensitive Staphylococcus aureus infections,32360445,"Methods
Patients and setting
This prospective study was conducted between September 2015 and May 2019 in a paediatric intensive care unit (PICU) and a paediatric immune-haematology intensive care unit (IHU) at the Necker Hospital (Paris, France). 
All inclusions were completed under the Optimome study, which was approved by the Ethics of the local committee of the hospital and was registered at www.clinicaltrials.gov (NCT02539407).",https://clinicaltrials.gov/study/NCT02539407,NA
M990,pop-PK,"Mohammed BS, Engelhardt T, Cameron GA, Cameron L, Hawksworth GM, Hawwa AF, McElnay J, Helms PJ, McLay JS. Population pharmacokinetics of single-dose intravenous paracetamol in children. Br J Anaesth. 2012 May;108(5):823-9. doi: 10.1093/bja/aes025. Epub 2012 Mar 1. PMID: 22389380.",Pediatric Patients,paracetamol,pain and fever,22389380,NA,measured,NA
M991,pop-PK,"Hendriksen IC, Maiga D, Lemnge MM, Mtove G, Gesase S, Reyburn H, Lindegardh N, Day NP, von Seidlein L, Dondorp AM, Tarning J, White NJ. Population pharmacokinetic and pharmacodynamic properties of intramuscular quinine in Tanzanian children with severe Falciparum malaria. Antimicrob Agents Chemother. 2013 Feb;57(2):775-83. doi: 10.1128/AAC.01349-12. Epub 2012 Nov 26. PMID: 23183442; PMCID: PMC3553700.",Pediatric Patients,quinine,Falciparum malaria,23183442,"MATERIALS AND METHODS
Study design, patients, and procedures. This pharmacokinetic assessment of quinine was part of the AQUAMAT trial (Current Controlled Trials registration number ISRCTN 50258054), a large multinational trial comparing quinine and artesunate for the treatment of severe malaria, the results of which were reported elsewhere previously (2). This substudy was conducted in the Teule Hospital in Muheza, Tanzania, from May 2009 to July 2010. Apart from the additional blood sampling, procedures of the current study were part of the AQUAMAT study protocol. The clinical assessment was reported in full previously (2).",https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(10)61924-1/fulltext,NA
M992,pop-PK,"Butragueño-Laiseca L, Marco-Ariño N, Troconiz IF, Grau S, Campillo N, García X, Padilla B, Fernández SN, Slöcker M, Santiago MJ. Population pharmacokinetics of piperacillin in critically ill children including those undergoing continuous kidney replacement therapy. Clin Microbiol Infect. 2022 Sep;28(9):1287.e9-1287.e15. doi: 10.1016/j.cmi.2022.03.031. Epub 2022 Apr 4. PMID: 35390523.",Pediatric Patients,piperacillin,gram-positive and gram-negative bacterial infections,35390523,"Methods
This study is part of a broader project intended to describe the PK properties of several antibiotics in pediatric patients with CKRT (European Regional Development Fund, ref. RD16/0022/0007). The study was approved by the Gregorio Marañón Institutional Review Board (Madrid, Spain). Informed consent from the parents was obtained for all the patients included in the study.",measured,NA
M993,pop-PK,"Sherwin CM, Tran NK, Sullivan K, Wead S, Birnbaum AK, Avachat C, Healy DP, Kagan RJ. Exploring the Past to Inform the Future to Optimize the Pharmacokinetics of Vancomycin in Children With Severe Burn Injuries. J Burn Care Res. 2023 Mar 2;44(2):353-362. doi: 10.1093/jbcr/irac147. PMID: 36194537.",Pediatric Patients,Vancomycin,gram-positive bacterial infections,36194537,"METHODS
Research Subjects
The Shriners Hospitals for Children (SHC)-Cincinnati utilized the University of Cincinnati Institutional Review Board (IRB) to assess this study, and consent was waived. This single-center retrospective study was undertaken with historical data from January 2007 to December 2009.",measured,NA
M994,pop-PK,"Thibault C, Lavigne J, Litalien C, Kassir N, Théorêt Y, Autmizguine J. Population Pharmacokinetics and Safety of Piperacillin-Tazobactam Extended Infusions in Infants and Children. Antimicrob Agents Chemother. 2019 Oct 22;63(11):e01260-19. doi: 10.1128/AAC.01260-19. PMID: 31427292; PMCID: PMC6811421.",Infants and Children,Piperacillin/Tazobactam,sepsis,31427292,"MATERIALS AND METHODS
Design and study population. We conducted a single-center, open-label opportunistic PK and safety study of TZP administered per standard of care to infants and children ≥2 months to 6 years of age with suspected or confirmed infection. Enrollment occurred from January 2016 to December 2017.",measured,NA
M995,pop-PK,"Nehus EJ, Mouksassi S, Vinks AA, Goldstein S. Meropenem in children receiving continuous renal replacement therapy: clinical trial simulations using realistic covariates. J Clin Pharmacol. 2014 Dec;54(12):1421-8. doi: 10.1002/jcph.360. Epub 2014 Jul 16. PMID: 25042683.",adult and pediatric patients,Meropenem,sepsis,25042683,"Materials and Methods
Patients
A total of 287 patients from the prospective pediatric CRRT (ppCRRT) database with complete data available were available to provide realistic demographic and clinical characteristics to be used in the pharmacokinetic modeling. The design of the ppCRRT registry has been previously reported.20",https://journals.sagepub.com/doi/10.1177/039139880402700104?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,NA
M996,pop-PK,"Roberts JK, Birg AV, Lin T, Daryani VM, Panetta JC, Broniscer A, Robinson GW, Gajjar AJ, Stewart CF. Population Pharmacokinetics of Oral Topotecan in Infants and Very Young Children with Brain Tumors Demonstrates a Role of ABCG2 rs4148157 on the Absorption Rate Constant. Drug Metab Dispos. 2016 Jul;44(7):1116-22. doi: 10.1124/dmd.115.068676. Epub 2016 Apr 6. PMID: 27052877; PMCID: PMC4931885.",Infants and Children,Topotecan,brain tumors,27052877,"Patients and Methods
Patients and Study Design. Risk-Adapted Therapy for Infants and Young Children with Embryonal Brain Tumors, High Grade Glioma, Choroid Plexus Carcinoma or Ependymoma (SJYC07; NCT00602667; https://clinicaltrials.gov/ct2/show/NCT00602667?term=NCT00602667&rank=1) is a multicenter protocol that is carried out in accordance with the Declaration of Helsinki (http://www.wma.net/en/30publications/10policies/b3/17c.pdf) and approved by our institutional review board.",https://clinicaltrials.gov/study/NCT00602667,NA
M997,pop-PK,"Swinkels DW, Hendriks JC, Nauta J, de Jong MC. Glomerular filtration rate by single-injection inulin clearance: definition of a workable protocol for children. Ann Clin Biochem. 2000 Jan;37 ( Pt 1):60-6. doi: 10.1258/0004563001901533. PMID: 10672374.",Pediatric Patients,inulin,NA,10672374,"METHODS
Patients
Fifty-nine children with renal diseases attending outpatient clinics of the University Hospitals of Nijmegen and Rotterdam between June 1994 and June 1997 were used in this study.",measured,NA
M998,pop-PK,"Nikanjam M, Tran L, Chadwick EG, Bwakura-Dangarembizi M, Bolton Moore C, Samson P, Spector SA, Chakhtoura N, Jean-Philippe P, Frenkel L, Zimmer B, Benns A, Libous J, Capparelli EV. Impact of CYP2B6 genotype, tuberculosis therapy, and formulation on efavirenz pharmacokinetics in infants and children under 40 months of age. AIDS. 2022 Mar 15;36(4):525-532. doi: 10.1097/QAD.0000000000003141. PMID: 34873089; PMCID: PMC8881387.",Pediatric Patients,efavirenz,tuberculosis,34873089,"METHODS
Participants and PK Sampling:
Efavirenz data was combined from three previously published IMPAACT/PACTG studies: P382, P1021 and P1070 [4, 8–10]. Data were included from children whose first PK visit was less than 40 months of age to capture all participants starting therapy by 3 years of age.","https://journals.lww.com/jaids/FullText/2019/08010/Establishing_Dosing_Recommendations_for_Efavirenz.16.aspx?casa_token=2yVSOXENCh8AAAAA:3wJf_yCkrONXqAqfPdEPkBh2qmjeJkqpI2hQ4eFLAEEsqRe9A-sfkES3WIf1ZDyidDl8_PanvXVIv3knCgkzZiwo
https://www.nejm.org/doi/full/10.1056/nejm199912163412502
https://publications.aap.org/pediatrics/article-abstract/120/2/e416/70416/Long-term-Safety-and-Efficacy-of-a-Once-Daily
https://journals.lww.com/aidsonline/fulltext/2017/05150/CYP2B6_genotype_directed_dosing_is_required_for.9.aspx?casa_token=-zt11N4pr1oAAAAA:gPO_iLT-_zLU2eWCT-iBbfV9GyN-KVTGYzl2ui6zBpaxGRh-kuyjjtCXDMRj9XGe6317bdJf_ePxX0kuCsOFmgTW",NA
M999,pop-PK,"Guidi M, Mercier T, Aouri M, Decosterd LA, Csajka C, Ogutu B, Carn G, Kiechel JR. Population pharmacokinetics and pharmacodynamics of the artesunate-mefloquine fixed dose combination for the treatment of uncomplicated falciparum malaria in African children. Malar J. 2019 Apr 18;18(1):139. doi: 10.1186/s12936-019-2754-6. PMID: 30999915; PMCID: PMC6471806.",Pediatric Patients,artesunate/mefloquine,uncomplicated falciparum malaria,30999915,"Therefore, an open-label, prospective, randomized, controlled, multi-centre, non-inferiority clinical trial evaluating the efficacy, safety and pharmacokinetics of the ASMQ FDC versus artemether–lumefantrine (AMLF) in children aged 6–59 months was conducted in Africa by DNDi (Pan African Clinical Trials Registry number PACTR201202000278282). 
Methods
Study design and participants
The clinical trial was carried out in six African centres: three in Tanzania, two in Burkina Faso and one in Kenya.",measured,NA
M1000,pop-PK,"Jönsson P, Skärby T, Heldrup J, Schrøder H, Höglund P. High dose methotrexate treatment in children with acute lymphoblastic leukaemia may be optimised by a weight-based dose calculation. Pediatr Blood Cancer. 2011 Jul 15;57(1):41-6. doi: 10.1002/pbc.22999. Epub 2011 Mar 21. PMID: 21425443.",Pediatric Patients,methotrexate,acute lymphoblastic leukaemia ,21425443,"METHODS
Patients
In the population pharmacokinetic model 304 children, treated with HDMTX at 13 paediatric oncology units in Sweden between 1992 and 1998 were included.",measured,NA
M1001,pop-PK,"Rakhmanina N, van den Anker J, Baghdassarian A, Soldin S, Williams K, Neely MN. Population pharmacokinetics of lopinavir predict suboptimal therapeutic concentrations in treatment-experienced human immunodeficiency virus-infected children. Antimicrob Agents Chemother. 2009 Jun;53(6):2532-8. doi: 10.1128/AAC.01374-08. Epub 2009 Mar 2. PMID: 19258274; PMCID: PMC2687254.",Pediatric Patients,lopinavir,HIV,19258274,"MATERIALS AND METHODS
Patients. The participants were children with HIV type 1 infection who were receiving care at the large metropolitan pediatric HIV program at Children's National Medical Center, Washington, DC.",measured,NA
M1002,pop-PK,"Urien S, Doz F, Namouni F, Bastian G. Pharmacokinetic modelling of total and unbound plasma carboplatin--a population study in 75 children. Int J Clin Pharmacol Ther. 2002 Jun;40(6):270-8. doi: 10.5414/cpp40270. PMID: 12078941.",Pediatric Patients,carboplatin,unilateral nephrectomy,12078941,no acess,NA,NA
M1003,pop-PK,"Johnson TN, Rostami-Hodjegan A, Goddard JM, Tanner MS, Tucker GT. Contribution of midazolam and its 1-hydroxy metabolite to preoperative sedation in children: a pharmacokinetic-pharmacodynamic analysis. Br J Anaesth. 2002 Sep;89(3):428-37. PMID: 12402721.",Pediatric Patients,midazolam,preoperative anxiety,12402721,"Methods 
Patients Forty-five children attending Sheffield Children's Hospital for day-case surgery were studied.",measured,NA
